url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.dostor.org/5201874,,أستاذ اقتصاد يكشف مكتسبات مصر من استضافة اجتماعات مجموعة العشرين,20250903T170000Z,,dostor.org,Arabic,Egypt
https://finance.ifeng.com/c/8mCumrACwuQ,,埃及央行宣布 ， 降息200个基点,20250829T034500Z,https://x0.ifengimg.com/ucms/2025_35/FE75190102CBAF30DB2DE5682171654F2CF77EBB_size618_w975_h549.png,finance.ifeng.com,Chinese,China
https://www.raialyoum.com/%D9%86%D8%AC%D9%8A%D8%A8-%D8%B3%D8%A7%D9%88%D9%8A%D8%B1%D8%B3-%D9%8A%D8%B9%D8%B1%D8%B6-%D8%AD%D9%84%D8%A7-%D9%84%D8%B3%D8%AF%D8%A7%D8%AF-%D8%AF%D9%8A%D9%88%D9%86-%D9%85%D8%B5%D8%B1-%D9%88%D8%A7%D9%84/,,نجيب ساويرس يعرض حلا لسداد ديون مصر والتي اعتبرها  العقبة الوحيدة  بعد التحسن الملحوظ في أداء الاقتصاد المصري,20250829T183000Z,https://www.raialyoum.com/wp-content/uploads/2025/08/2025-08-29_17-59-28_833981.jpg,raialyoum.com,Arabic,Israel
https://www.vetogate.com/5477166,,  اقتصاد وعلوم سياسية  تنظم دورة للمتقدمين لاختبارات الملحق التجاري والمالي بوزارة الاستثمار,20250824T094500Z,,vetogate.com,Arabic,Egypt
https://www.dostor.org/5199192,,إيهاب سعيد : قمة العشرين فرصة لتعزيز مكانة مصر الرقمية وجذب استثمارات تكنولوجية عالمية,20250901T181500Z,,dostor.org,Arabic,Egypt
http://www.stcn.com/article/detail/3304126.html,,降息200个基点 ！ 这国央行宣布→,20250829T054500Z,,stcn.com,Chinese,China
https://www.dostor.org/5187869,,اقتصاد القاهرة تنظم دورة تأهيلية للمتقدمين لاختبارات الملحق التجاري,20250824T100000Z,,dostor.org,Arabic,Egypt
https://www.shorouknews.com/news/view.aspx?cdate=24082025&id=46a8bdb6-e51d-425c-a1a8-03557945415c,,كلية الاقتصاد والعلوم السياسية بجامعة القاهرة تنظم دورة تأهيلية للمتقدمين لاختبارات الملحق التجاري والمالي بوزارة الاستثمار,20250824T100000Z,https://www.shorouknews.com/uploadedimages/Box/original/%D9%83%D9%84%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%20%D9%88%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%85%20%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9%20%D8%A8%D8%AC%D8%A7%D9%85%D8%B9%D8%A9%20%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9%20%D8%AA%D9%86%D8%B8%D9%85%20%D8%AF%D9%88%D8%B1%D8%A9%20%D8%AA%D8%A3%D9%87%D9%8A%D9%84%D9%8A%D8%A9%20%D9%84%D9%84%D9%85%D8%AA%D9%82%D8%AF%D9%85%D9%8A%D9%86%20%D9%84%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D9%84%D8%AD%D9%82%20%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%20%D9%88%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A%20%D8%A8%D9%88%D8%B2%D8%A7%D8%B1%D8%A9%20%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1.jpeg,shorouknews.com,Arabic,Egypt
https://www.dostor.org/5179698,,رسميًا ..  المركزي  يوافق على إطلاق أول بنك رقمي في مصر,20250817T111500Z,,dostor.org,Arabic,Egypt
https://caifuhao.eastmoney.com/news/20250829140913865721320,,降息 ！ 200点 ！ 多国央行 ， 出手 ！_ 财富号 _ 东方财富网,20250829T091500Z,,caifuhao.eastmoney.com,Chinese,China
https://www.globes.co.il/news/article.aspx?did=1001518378,,35 מיליארד דולר : ניו - מד חתמה על עסקת ענק לאספקת גז למצרים,20250807T084500Z,https://res.cloudinary.com/globes/image/upload/t_800X392/v1645345060/direct/%D7%90%D7%A1%D7%93%D7%AA_%D7%9C%D7%95%D7%95%D7%99%D7%AA%D7%9F3_%D7%9E%D7%90%D7%95%D7%A9%D7%A8%D7%AA_%D7%9C%D7%A4%D7%A8%D7%A1%D7%95%D7%9D_%D7%9C%D7%9C%D7%90_%D7%AA%D7%9E%D7%95%D7%A8%D7%94_%D7%A7%D7%A8%D7%93%D7%99%D7%98_%D7%A6%D7%99%D7%9C%D7%95%D7%9D_%D7%90%D7%9C%D7%91%D7%98%D7%A8%D7%95%D7%A1_lkfczj.jpg,globes.co.il,Hebrew,Israel
https://www.shorouknews.com/news/view.aspx?cdate=16072025&id=981508b5-5f14-47ba-b338-62cd675fa142,,وزير المالية : مصر تفتح أبوابها للجميع بفرص اقتصادية واعدة ومتنوعة,20250716T130000Z,https://www.shorouknews.com/uploadedimages/Other/original/c7432c0d-b043-4f21-8607-69db54966e5f.jpeg,shorouknews.com,Arabic,Egypt
https://www.almasryalyoum.com/news/details/3532252,https://www.almasryalyoum.com/news/detailsamp/3532252,يوسف الحسيني : « معلش أنا شاطر جدًا في الاقتصاد .. ومسارنا الاقتصادي مش وحش » ( فيديو ) ,20250823T234500Z,,almasryalyoum.com,Arabic,Egypt
https://www.dostor.org/5172025,,اختيار مصر ضمن 7 دول للاستفادة من برنامج صندوق الاستثمار في المناخ,20250811T094500Z,,dostor.org,Arabic,Egypt
https://www.almasryalyoum.com/news/details/3521570,https://www.almasryalyoum.com/news/detailsamp/3521570, « ستاندرد تشارترد »: مصر ستستلم 6 مليارات دولار من قطر والكويت قبل نهاية 2025,20250810T133000Z,,almasryalyoum.com,Arabic,Egypt
https://www.dostor.org/5200477,,وكيل  إسكان النواب : استضافة مصر اجتماع العشرين تعكس ثقة دولية في بلادنا,20250902T161500Z,,dostor.org,Arabic,Egypt
https://www.shorouknews.com/news/view.aspx?cdate=10082025&id=2e42f464-6e15-4406-aaa8-29207b52cd25,,ستاندرد تشارترد يتوقع حصول مصر على 6 مليارات دولار من الكويت وقطر نهاية 2025,20250810T123000Z,https://www.shorouknews.com/uploadedimages/Sections/Money%20and%20Business/original/f02e5681-11f6-4d5b-aa8e-0ae4eea7b972.jpg,shorouknews.com,Arabic,Egypt
https://www.almasryalyoum.com/news/details/3539494,https://www.almasryalyoum.com/news/detailsamp/3539494, « شعبة الاتصالات »: مصر تمتلك مقومات قوية في مجال التحول الرقمي,20250902T084500Z,,almasryalyoum.com,Arabic,Egypt
https://www.elwatannews.com/news/details/8125224,, « التصديري للحرف اليدوية »: استضافة مصر لقمة العشرين تعكس ثقة العالم في قوتها,20250901T150000Z,https://media.elwatannews.com/media/img/Large/2025/9/1/2025_9_1_17_13_16_715.jpeg,elwatannews.com,Arabic,Egypt
https://news.gooya.com/2025/08/post-100903.php,,ایران در حسرت « سادات » ,20250823T073000Z,https://news.gooya.com/2025/08/23/fe9cb8a6a1184aedc18390c7c70dc8299c9ee8da.jpg,news.gooya.com,Persian,Iran
https://www.dostor.org/5162672,,أحمد المنوفي : انتخابات الشيوخ تؤثر إيجابيًا على الاستقرار الاقتصادي والاستثماري في مصر,20250803T110000Z,,dostor.org,Arabic,Egypt
https://www.dostor.org/5195559,,النائب جمال عبيد : مشروع  أتوم سولار مصر  نقلة نوعية لتوطين صناعة الطاقة الشمسية,20250830T080000Z,,dostor.org,Arabic,Egypt
https://www.globes.co.il/news/article.aspx?did=1001518480,,  המון כסף לאזרחי ישראל : יוסי אבו עונה למתנגדים,20250808T073000Z,https://res.cloudinary.com/globes/image/upload/t_800X392/v1660556200/direct/Yossi_Abu_xq8nra.jpg,globes.co.il,Hebrew,Israel
https://www.dostor.org/5186325,,وليد جاب الله : مصر واليابان بينهما علاقات تاريخية موثقة,20250823T030000Z,,dostor.org,Arabic,Egypt
https://www.shorouknews.com/news/view.aspx?cdate=25072025&id=e9289c7a-e975-445c-b69d-238cf5551b65,,محمود محيي الدين : على مصر توسيع علاقاتها إفريقيا وآسيويا لأن اقتصادها المحلي لا يكفي,20250725T054500Z,https://www.shorouknews.com/uploadedimages/Other/original/314698905_1655887081511934_8286031381021941766_n.jpg,shorouknews.com,Arabic,Egypt
https://www.shorouknews.com/news/view.aspx?cdate=16072025&id=27acbbe1-788b-4745-b776-0a3b4cedc34d,,وزير المالية : بيئة الاستثمار في مصر تتحسن .. والقطاع الخاص يقود النشاط الاقتصادي,20250716T121500Z,https://www.shorouknews.com/uploadedimages/Other/original/b77f471a-9e2d-4613-9999-9d02c1b45cdb.jpeg,shorouknews.com,Arabic,Egypt
https://www.dostor.org/5195136,,الشوادفي : تطوير الموانئ يعزز مكانة مصر كمركز لوجستي عالمي ويخلق فرصًا استثمارية وتنموية,20250829T164500Z,,dostor.org,Arabic,Egypt
https://www.antaranews.com/berita/5076917/presiden-china-gelar-pertemuan-dengan-pm-mesir-di-tianjin,https://m.antaranews.com/amp/berita/5076917/presiden-china-gelar-pertemuan-dengan-pm-mesir-di-tianjin,Presiden China gelar pertemuan dengan PM Mesir di Tianjin,20250831T091500Z,https://cdn.antaranews.com/cache/1200x800/2025/08/31/CjkinzN000017_20250831_CBMFN0A001.jpg,antaranews.com,Indonesian,Indonesia
https://www.dostor.org/5202988,,برلماني : استضافة مصر لاجتماع العشرين تأكيد على الثقة الدولية في مكانتها العالمية,20250904T143000Z,,dostor.org,Arabic,Egypt
https://www.vetogate.com/5451921,,وزير المالية : الانتهاء من المراجعة 5 و6 لصندوق النقد في سبتمبر أو أكتوبر,20250716T133000Z,,vetogate.com,Arabic,Egypt
https://www.dostor.org/5138978,,كم يسجل الريال السعودي اليوم في البنك المركزي المصري ؟ ,20250713T174500Z,,dostor.org,Arabic,Egypt
https://www.albayan.ae/lifestyle/culture/217677,https://www.albayan.ae/amp/lifestyle/culture/217677,مؤسسة محمد بن راشد للمعرفة تنظم « ملتقى شباب المعرفة » 20 و21 الجاري بمصر,20250715T213000Z,https://www.albayan.ae/assets/images/2025/07/15/4844348.jpg,albayan.ae,Arabic,United Arab Emirates
https://www.shorouknews.com/news/view.aspx?cdate=17082025&id=c83b0f14-9914-4e7e-ba7f-70f5eba8a9ff,,منح شركة مصر للابتكار الرقمي الموافقة للتحول إلى أول بنك رقمي في مصر وتعيين مجلس إدارة جديد,20250817T144500Z,https://www.shorouknews.com/uploadedimages/Other/original/%D8%A1%D8%A4%D8%A4%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A8%D8%A86666666666666666666666666666666666666.jpg,shorouknews.com,Arabic,Egypt
https://www.dostor.org/5206757,,كامل الوزير : ممرات لوجستية كبرى تربط مصر بالعالم وتعزز الصادرات والاقتصاد,20250907T161500Z,,dostor.org,Arabic,Egypt
https://www.dostor.org/5217919,,متى بشاي : زيادة الاستثمارات الأجنبية عنصر أساسي لنمو الاقتصاد,20250915T113000Z,,dostor.org,Arabic,Egypt
https://www.shorouknews.com/news/view.aspx?cdate=10082025&id=93ac4f1f-50a8-4c31-8ebd-91043b206b19,,ستاندرد تشارترد : الاقتصاد المصري يحافظ على مرونته رغم استمرار الضغوط العالمية,20250810T094500Z,https://www.shorouknews.com/uploadedimages/Other/original/99583735070760804809.JPG,shorouknews.com,Arabic,Egypt
https://www.dostor.org/5144540,,رامي عاشور : التنسيق المصري السعودي يشكل حصنًا للأمن القومي العربي,20250718T181500Z,,dostor.org,Arabic,Egypt
https://news.qq.com/rain/a/20250828A05IX900,,特稿｜创新进取 合作共赢 中阿经贸合作助力经济全球化进程 _ 腾讯新闻,20250828T140000Z,,news.qq.com,Chinese,China
https://www.dostor.org/5200102,,اتحاد الغرف السياحية : حملة  إحنا مصر  تدعم الاقتصاد القومي,20250902T120000Z,,dostor.org,Arabic,Egypt
https://arabic.rt.com/business/1706554-%D9%86%D8%AC%D9%8A%D8%A8-%D8%B3%D8%A7%D9%88%D9%8A%D8%B1%D8%B3-%D9%8A%D8%B9%D8%B1%D8%B6-%D8%AD%D9%84%D8%A7-%D9%84%D8%B3%D8%AF%D8%A7%D8%AF-%D8%AF%D9%8A%D9%88%D9%86-%D9%85%D8%B5%D8%B1/,https://arabic.rt.com/business/1706554-%D9%86%D8%AC%D9%8A%D8%A8-%D8%B3%D8%A7%D9%88%D9%8A%D8%B1%D8%B3-%D9%8A%D8%B9%D8%B1%D8%B6-%D8%AD%D9%84%D8%A7-%D9%84%D8%B3%D8%AF%D8%A7%D8%AF-%D8%AF%D9%8A%D9%88%D9%86-%D9%85%D8%B5%D8%B1/amp/,نجيب ساويرس يعرض حلا لسداد ديون مصر,20250829T134500Z,https://mf.b37mrtl.ru/media/pics/2025.08/original/68b197b34c59b70bb4387f0a.jpg,arabic.rt.com,Arabic,Russia
https://www.bbc.com/arabic/articles/c4gv3m9rjjlo,https://www.bbc.com/arabic/articles/c4gv3m9rjjlo.amp,  سردية وطنية للاقتصاد .. مصر تخطط لما بعد صندوق النقد الدولي,20250908T194500Z,https://ichef.bbci.co.uk/news/1024/branded_arabic/7f25/live/f8d9e820-8ccd-11f0-9cf6-cbf3e73ce2b9.jpg,bbc.com,Arabic,United Kingdom
https://www.nbd.com.cn/articles/2025-08-29/4040315.html,https://m.nbd.com.cn/articles/2025-08-29/4040315.html,最新 ！ 这国宣布 ： 降息200个基点 ！ 今年已降息2次,20250829T031500Z,,nbd.com.cn,Chinese,China
https://www.elwatannews.com/news/details/8126120,,خبير : المؤشرات الاقتصادية إيجابية .. وعلاقة مصر بصندوق النقد تعطيها مميزات مختلفة,20250902T170000Z,https://media.elwatannews.com/media/img/Large/2025/9/2/2025_9_2_19_27_4_204.jpg,elwatannews.com,Arabic,Egypt
https://www.globes.co.il/news/article.aspx?did=1001522612,,כשהכלכלה חלשה הגז מישראל הופך לחבל ההצלה של מצרים,20250925T173000Z,https://res.cloudinary.com/globes/image/upload/t_800X392/v1758810992/direct/AP25128489848210_sfwjyj.jpg,globes.co.il,Hebrew,Israel
https://www.dostor.org/5206996,,خبير اقتصادي : مصر على طريق التنمية الاقتصادية .. والتعامل مع صندوق النقد الدولي ينتهي العام القادم,20250907T200000Z,,dostor.org,Arabic,Egypt
https://www.alnilin.com/13385794.htm,https://www.alnilin.com/13385794.htm/amp,مصر تسقط أكبر منصة بث رياضي مقرصنة في العالم | ضربة حاسمة لحماية المحتوى الرقمي,20250905T190000Z,https://www.alnilin.com/wp-content/uploads/2017/09/3-1.jpg,alnilin.com,Arabic,Sudan
https://www.dostor.org/5198653,,خالد أبوالوفا : استضافة مصر قمة العشرين فرصة تاريخية لتعزيز الاستثمار والتجارة,20250901T110000Z,,dostor.org,Arabic,Egypt
https://www.elwatannews.com/news/details/8121313,, « خفض الفائدة أم التثبيت ».. أبرز توقعات اجتماع البنك المركزي المصري القادم,20250826T144500Z,https://media.elwatannews.com/media/img/Large/2025/8/26/2025_8_26_14_10_51_906.jpg,elwatannews.com,Arabic,Egypt
https://www.dostor.org/5175670,,سفير الهند بالقاهرة : مصر وجهة تجارية جاذبة,20250814T000000Z,,dostor.org,Arabic,Egypt
http://www.stcn.com/article/detail/3314655.html,,索拉非尼埃及获批 科兴制药MENA地区商业化添关键成果,20250901T031500Z,,stcn.com,Chinese,China
